"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Earliest Priority Date,Title,Applicants,Inventors,Owners,URL,Legal Status
233,CN,A,CN 111154790 A,106-071-042-235-361,2020-05-15,2020,CN 202010048011 A,2020-01-16,2020-01-16,Oxidized squalene cyclase gene GpOSC1 and encoded product and application thereof,INST MED PLANT DEV CAMS,SUN CHAO;;LIANG TONGTONG;;ZOU LIQIU;;LI YING,,https://lens.org/106-071-042-235-361,ACTIVE
234,AU,B2,AU 2017/385601 B2,002-513-912-399-349,2022-08-25,2022,AU 2017/385601 A,2017-12-26,2016-12-27,In vivo synthesis of sialylated compounds,INBIOSE NV,BEAUPREZ JOERI;;COUSSEMENT PIETER;;VAN HERPE DRIES;;PETERS GERT;;VERCAUTEREN ANNELIES,,https://lens.org/002-513-912-399-349,ACTIVE
235,WO,A1,WO 2022/129470 A1,035-225-033-392-985,2022-06-23,2022,EP 2021086396 W,2021-12-17,2020-12-18,VARIANT SUCROSE PERMEASE POLYPEPTIDES,INBIOSE NV,BEAUPREZ JOERI;;CIESIELSKA KATARZYNA;;LANNOO NAUSICAÄ;;VANDEWALLE KRISTOF;;VERCAUTEREN ANNELIES,,https://lens.org/035-225-033-392-985,PENDING
236,CN,A,CN 113308442 A,180-188-613-046-170,2021-08-27,2021,CN 202110467433 A,2021-04-28,2021-04-28,Recombinant saccharomyces cerevisiae strain and construction method thereof,UNIV TIANJIN;;INST MILITARY MEDICINE ACADEMY MILITARY SCIENCES PLA,YUAN YINGJIN;;WU NAN;;DU XIANLI;;WANG YING;;YAO MINGDONG;;DUAN XIAOTAO;;XIAO WENHAI,,https://lens.org/180-188-613-046-170,PENDING
237,CN,A,CN 113174399 A,128-463-772-418-953,2021-07-27,2021,CN 202110466187 A,2021-04-28,2021-04-28,Recombinant saccharomyces cerevisiae strain and fermentation method thereof,UNIV TIANJIN;;INST MILITARY MEDICINE ACADEMY MILITARY SCIENCES PLA,YUAN YINGJIN;;WU NAN;;DU XIANLI;;WANG YING;;YAO MINGDONG;;DUAN XIAOTAO;;XIAO WENHAI,,https://lens.org/128-463-772-418-953,PENDING
238,RU,C1,RU 2765497 C1,019-873-790-173-814,2022-01-31,2022,RU 2021102274 A,2021-02-02,2021-02-02,SET FOR IDENTIFYING SARS-CoV-2 CORONAVIRUS,FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE UCHREZHDENIE NAUKI INST TEORETICHESKOJ I EKSPERIMENTALNOJ BIO,EVDOKIMOVSKIJ EDUARD VLADIMIROVICH;;BELETSKIJ IGOR PETROVICH;;GLUKHOVA KSENIYA ALEKSEEVNA,,https://lens.org/019-873-790-173-814,ACTIVE
239,CN,A,CN 110714036 A,074-289-865-697-308,2020-01-21,2020,CN 201910943777 A,2019-09-30,2019-09-30,Application of phenyllactate UDP-Glycosyltransferase,UNIV SOUTHWEST,LIAO ZHIHUA;;CHEN MIN;;YANG CHUNXIAN;;ZENG JUNLAN;;QIU FEI,,https://lens.org/074-289-865-697-308,PENDING
240,US,A1,US 2010/0112558 A1,096-019-799-663-529,2010-05-06,2010,US 26424208 A,2008-11-03,2008-11-03,Probe Bead Synthesis and Use,GAO XIAOLIAN;;ZHOU XIAOCHUAN,GAO XIAOLIAN;;ZHOU XIAOCHUAN,,https://lens.org/096-019-799-663-529,DISCONTINUED
241,CN,A,CN 1409110 A,131-919-202-240-701,2003-04-09,2003,CN 02105337 A,2002-02-25,2001-02-28,Two-dimensional optic coder produced by micro processing and use,UNIV TSINGHUA,WU LEI;;WANG XIAOBO;;DAVID ROSWALF,,https://lens.org/131-919-202-240-701,EXPIRED
242,WO,A1,WO 2022/152915 A1,154-596-549-441-300,2022-07-21,2022,EP 2022050919 W,2022-01-17,2021-01-18,EXTRACELLULAR PRODUCTION OF GLYCOSYLATED PRODUCTS,INBIOSE NV,BEAUPREZ JOERI;;DE MAESENEIRE SOFIE;;DE NIJS YATTI;;DELMULLE TOM,,https://lens.org/154-596-549-441-300,PENDING
243,US,A1,US 2020/0071711 A1,123-901-473-688-924,2020-03-05,2020,US 201916686145 A,2019-11-16,2014-04-30,MODULAR CONSTRUCTION OF SYNTHETIC GENE CIRCUITS IN MAMMALIAN CELLS USING MATHEMATICAL MODELING OF CLOSED LOOP TRANSCRIPTIONAL REPRESSORS,UNIV TSINGHUA,XIE ZHEN;;JIANG YUN;;LIAO WEIXI;;CHEN HE,,https://lens.org/123-901-473-688-924,PENDING
244,CN,A,CN 110452288 A,016-987-745-325-483,2019-11-15,2019,CN 201810432932 A,2018-05-08,2018-05-08,Artificial synthetic signal peptide,LUNAN PHARMACEUTICAL GROUP CORP,ZHANG GUIMIN;;ZHU ZHONGSONG;;ZHAO LILI,,https://lens.org/016-987-745-325-483,PENDING
245,CN,A,CN 113151332 A,031-883-227-436-957,2021-07-23,2021,CN 202011128262 A,2020-10-20,2020-10-20,"Functional module SyCsDh for improving biological oxidation resistance, high salt and desiccation",BIOTECHNOLOGY RES INST CAAS,LIN MIN;;ZHOU ZHENGFU;;WANG JING;;YAN YONGLIANG;;LU WEI,,https://lens.org/031-883-227-436-957,ACTIVE
246,CN,A,CN 114317631 A,064-212-828-845-65X,2022-04-12,2022,CN 202111549936 A,2021-12-17,2021-12-17,Application of monoamine oxidase in preparation of tropinone,UNIV WUHAN,QU XUDONG;;LIN ZHI,,https://lens.org/064-212-828-845-65X,PENDING
247,CN,A,CN 102618477 A,076-007-073-391-612,2012-08-01,2012,CN 201210102205 A,2012-04-10,2011-07-18,Construction method for producing succinic acid Escherichia coli gene engineering bacteria by means of xylose-metabolism,UNIV NANJING,MIN JIANG;;RONGMING LIU;;LIYA LIANG;;JIANGFENG MA;;KEQUAN CHEN;;PING WEI,,https://lens.org/076-007-073-391-612,DISCONTINUED
248,WO,A1,WO 2022/007145 A1,015-932-713-240-720,2022-01-13,2022,CN 2020111685 W,2020-08-27,2020-07-09,"GENE MODULE FOR EFFICIENTLY DEGRADING FEATHER AND SYNTHESIZING ARTIFICIAL HEMEPROTEIN, AND APPLICATION THEREOF",BIOTECHNOLOGY RES INSTITUTE CHINESE ACADEMY OF AGRICULTURAL SCIENCES,LIN MIN;;ZHOU ZHENGFU;;YAN YONGLIANG;;ZHANG WEI;;WANG JIN;;LU WEI,,https://lens.org/015-932-713-240-720,PENDING
249,CN,A,CN 104739841 A,024-742-856-879-256,2015-07-01,2015,CN 201510082399 A,2009-01-12,2008-01-11,SYNTHETIC TRITERPENOIDS AND METHODS OF USE IN THE TREATMENT OF DISEASE,REATA PHARMACEUTICALS INC;;DARTMOUTH COLLEGE,SPORN MICHAEL B;;LIBY KAREN T;;GRIBBLE GORDON W;;HONDA TADASHI;;KRAL ROBERT M;;MEYER COLIN J,,https://lens.org/024-742-856-879-256,ACTIVE
250,CN,A,CN 105624144 A,036-288-320-112-901,2016-06-01,2016,CN 201610088968 A,2016-02-17,2016-02-17,Method for constructing ring chromosomes of saccharomyces cerevisiae,UNIV TIANJIN,YUAN YINGJIN;;XIE ZEXIONG;;LI BINGZHI,,https://lens.org/036-288-320-112-901,ACTIVE
251,CN,A,CN 114410630 A,033-566-549-041-046,2022-04-29,2022,CN 202210029504 A,2022-03-21,2022-03-21,Construction method and application of TBC1D8B gene knockout mouse animal model,UNIV YUNNAN,ZHAO HUI;;ZHANG YAPING;;LI CHUANG;;CHEN DONGLIANG,,https://lens.org/033-566-549-041-046,PENDING
252,CN,A,CN 114507686 A,124-516-419-440-19X,2022-05-17,2022,CN 202210142171 A,2022-02-16,2022-02-16,Construction and application of producing area yellow source salidroside yeast engineering bacteria,HENAN INDUSTRIAL UNIV,YANG YANHUI;;YANG DASHUAI;;CHEN JIAYI;;DONG KEWEI;;WU MENGJIE;;TAN XI;;WANG CHI;;LI RUIFANG;;YI YANJIE;;ZHANG CHANGFU,,https://lens.org/124-516-419-440-19X,ACTIVE
253,EP,B1,EP 1072635 B1,193-328-259-779-120,2005-09-28,2005,EP 00890227 A,2000-07-21,1999-07-22,Process for modifying polymeric surfaces,KERN WOLFGANG DR,KERN WORFGANG;;KAVE THOMAS DIPL ING,,https://lens.org/193-328-259-779-120,EXPIRED
254,US,A1,US 2009/0263815 A1,170-749-158-198-440,2009-10-22,2009,US 42835509 A,2009-04-22,2006-10-25,"CELL CULTURE SYSTEM, PROCESS FOR THE PRODUCTION THEREOF, AND THE USE THEREOF IN PRECLINICAL INVESTIGATION",EDI EXPERIMENTELLE U DIAGNOSTI,SCHMOLZ MANFRED,EDI EXPERIMENTELLE U. DIAGNOSTISCHE IMMUNOLOGIE GMBH (2009-05-04),https://lens.org/170-749-158-198-440,DISCONTINUED
255,CN,A,CN 106755035 A,018-746-245-858-318,2017-05-31,2017,CN 201611103623 A,2016-12-05,2016-12-05,Construction method of escherichia coli synthetic strain capable of efficiently fermenting isobutanol in low-residual-sugar manner,UNIV TIANJIN,WEN JIANPING;;CHEN HONG;;LIU JIAO,,https://lens.org/018-746-245-858-318,DISCONTINUED
256,CN,A,CN 113307857 A,001-128-549-143-674,2021-08-27,2021,CN 202110049785 A,2021-01-14,2021-01-14,"Scaffold proteins derived from epidermal growth factor, lectin and Tat proteins",AI SHIBIN,AI SHIBIN;;YANG FAN;;LIU XIN;;HAN XIAOFANG;;CHEN JING,,https://lens.org/001-128-549-143-674,ACTIVE
257,CN,A,CN 113832147 A,033-722-453-516-870,2021-12-24,2021,CN 202111051247 A,2021-09-08,2021-09-08,"Efficient large-fragment DNA synthesis and amplification PCR primer, method and application",UNIV SOUTH CHINA AGRICULT,LIU YAOGUANG;;CHEN LETIAN;;ZHAO ZHE;;XIE XIANRONG;;LIU WEIZHI;;ZHU QINLONG;;TAN JIANTAO,,https://lens.org/033-722-453-516-870,PENDING
258,CN,A,CN 114657155 A,047-669-455-299-177,2022-06-24,2022,CN 202111589828 A,2021-12-23,2021-12-23,Novel non-ribosome polypeptide synthetase resolution expression method,BIOTECHNOLOGY RES INSTITUTE OF CHINESE ACADEMY OF AGRICULTURAL SCIENCES,XU YUQUAN;;YUE QUN;;YIN MIAOMIAO;;CHEUNG LAI MAN,,https://lens.org/047-669-455-299-177,PENDING
259,CN,A,CN 114908092 A,031-264-936-043-301,2022-08-16,2022,CN 202210513854 A,2022-05-12,2022-05-12,Long-acting and high-strength hybrid promoter as well as recombinant strain and application thereof,UNIV SOUTH CHINA TECH,LI SHUANG;;WANG WEIBIN;;ZENG HUI;;CHA YAPING,,https://lens.org/031-264-936-043-301,PENDING
260,CN,A,CN 106318879 A,021-604-045-846-560,2017-01-11,2017,CN 201610836051 A,2016-09-20,2016-09-20,Pyruvate high-temperature and high-yield engineered strain and application thereof,UNIV SCIENCE & TECH CHINA,HONG JIONG;;ZHANG BIAO;;WANG DONGMEI;;ZHU YELIN,,https://lens.org/021-604-045-846-560,ACTIVE
261,CN,A,CN 115678901 A,165-761-179-991-537,2023-02-03,2023,CN 202211436508 A,2022-11-16,2022-11-16,Gene spacer region expression element for constructing eukaryotic polycistron and application of gene spacer region expression element,BIOTECHNOLOGY RES INST CAAS,XU YUQUAN;;YUE QUN;;SHI SHUOBO;;MENG JIE;;YIN MIAOMIAO,,https://lens.org/165-761-179-991-537,PENDING
262,CN,A,CN 111088254 A,053-741-279-768-78X,2020-05-01,2020,CN 201911072118 A,2019-11-05,2019-11-05,Fungal operon-based exogenous gene fixed-point quantitative timing expression system,BIOTECHNOLOGY RES INST CAAS,XU YUQUAN;;YUE QUN;;ZHANG LIWEN,,https://lens.org/053-741-279-768-78X,ACTIVE
263,WO,A1,WO 2020/182987 A1,030-906-985-629-486,2020-09-17,2020,EP 2020056878 W,2020-03-13,2019-03-13,LIVER TISSUE MODEL CONSTRUCTS AND METHODS FOR PROVIDING THE SAME,CELLINK AB,NGUYEN DUONG;;NAMRO REDWAN ADEL ITEDAL;;MARTINEZ HECTOR;;GATENHOLM ERIK,,https://lens.org/030-906-985-629-486,PENDING
264,US,A1,US 2022/0396761 A1,115-682-898-004-455,2022-12-15,2022,US 202117904203 A,2021-02-12,2020-02-14,VIABLE BACTERIAL HOST CELL,INBIOSE NV,BEAUPREZ JOERI;;MAESENEIRE SOFIE;;SNOECK NICO,INBIOSE N.V (2022-06-16),https://lens.org/115-682-898-004-455,PENDING
265,CN,A,CN 114957415 A,008-903-140-327-135,2022-08-30,2022,CN 202210498265 A,2022-05-09,2022-05-09,"Streptavidin mutant as well as application, product, gene, recombinant plasmid and genetically engineered bacterium thereof",NANJING JUJIANG BIOTECHNOLOGY CO LTD,DIAO HANWEN,,https://lens.org/008-903-140-327-135,PENDING
266,RU,C1,RU 2739943 C1,137-820-301-040-586,2020-12-30,2020,RU 2020114856 A,2020-04-22,2020-04-22,DIAGNOSTIC TECHNIQUE FOR THE 167DELT (RS80338942) MUTATION OF THE GJB2 GENE,FEDERALNOE GOSUDARSTVENNOE AVTONOMNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA ROSSIJSKIJ N,LOLOMADZE ELENA ANATOLEVNA;;REBRIKOV DENIS VLADIMIROVICH,,https://lens.org/137-820-301-040-586,ACTIVE
267,CN,A,CN 112961842 A,031-514-401-953-711,2021-06-15,2021,CN 202110307356 A,2021-03-23,2021-03-23,Soybean phytochrome chromophore synthetic gene GmHY2 as well as encoded protein and application thereof,NORTHEAST INST GEO & AGROECOLO,YANG SUXIN;;ZHANG ZHIRUI;;YU HUI;;WANG QIUSHI,,https://lens.org/031-514-401-953-711,ACTIVE
268,CN,A,CN 110357957 A,115-062-096-659-479,2019-10-22,2019,CN 201910642115 A,2019-07-16,2019-07-16,Method for preparing ADAMTSL-3/punctin-2 polyclonal antibody,HUNAN UNIV SHENZHEN RESEARCH INSTITUTE,TU HAIJUN,,https://lens.org/115-062-096-659-479,ACTIVE
269,EP,A1,EP 3878961 A1,031-788-339-164-890,2021-09-15,2021,EP 21162339 A,2018-06-06,2017-06-06,A HTP GENOMIC ENGINEERING PLATFORM FOR IMPROVING ESCHERICHIA COLI,ZYMERGEN INC,DAVIS MATTHEW;;WISNEWSKI CHRISTY;;WESTFALL PATRICK;;SERBER ZACH;;DEAN ERIK JEDEDIAH;;MANCHESTER SHAWN;;GORA KATHERINE;;SHELLMAN ERIN;;KIMBALL AARON;;SZYJKA SHAWN;;FREWEN BARBARA;;TREYNOR THOMAS;;FLASHMAN MICHAEL;;HAUSHALTER ROBERT;;MORGAN STACY-ANNE;;BLAISSE MICHAEL;;RAMAKRISHNAN PRABHA;;ROTHSCHILD-MANCINELLI KYLE;;KIM YOUNGNYUN,,https://lens.org/031-788-339-164-890,DISCONTINUED
270,CN,A,CN 110724052 A,165-369-552-655-421,2020-01-24,2020,CN 201910966733 A,2019-10-12,2019-10-12,Eugenol surfactant and application thereof,UNIV JIANGNAN,SONG BINGLEI;;SHI LIYAN;;YANG MINGZHU,,https://lens.org/165-369-552-655-421,ACTIVE
271,TW,A,TW 202221135 A,094-913-600-825-329,2022-06-01,2022,TW 110129457 A,2021-08-10,2020-08-10,"Production of alpha-1,3 glycosylated form of Fuc-a1,2-Gal-R",INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAA;;PETERS GERT;;VANDEWALLE KRISTOF;;VERCAUTEREN ANNELIES,,https://lens.org/094-913-600-825-329,PENDING
272,CN,A,CN 104988162 A,042-829-827-415-553,2015-10-21,2015,CN 201510308552 A,2015-06-08,2015-06-08,Application of cofactor regeneration module to enhancement of secondary metabolite synthesis in microorganisms,UNIV TIANJIN,XIAO WENHAI;;SU WAN;;WANG YING;;ZHOU XIAO;;LIU DUO;;YUAN YINGJIN,,https://lens.org/042-829-827-415-553,ACTIVE
273,CN,A,CN 114191554 A,134-575-537-502-34X,2022-03-18,2022,CN 202111434052 A,2021-11-29,2021-11-29,Application of reagent for inhibiting TERT expression in preparation of medicine for preventing or treating thoracic aortic aneurysm,FIRST AUXILIARY HOSPITAL OF CHINESE PEOPLE LIBERATION NAVY MILITARY UNIV,WANG GUOKUN;;YUAN YE;;SUN YANGYONG;;YAN YAN;;HAN LIN;;XU ZHIYUN,,https://lens.org/134-575-537-502-34X,ACTIVE
274,CN,A,CN 104152544 A,040-672-672-195-14X,2014-11-19,2014,CN 201410249829 A,2014-06-07,2014-06-07,Hybridization high-flux DNA (Deoxyribose Nucleic Acid) sequencing method based on ligase reaction,XUZHOU MEDICAL COLLEGE,LI YANQIANG;;GUO YUBAI;;PAN ZHIQIANG;;CAO JUNLI,,https://lens.org/040-672-672-195-14X,INACTIVE
275,RU,C1,RU 2739889 C1,016-774-548-539-141,2020-12-29,2020,RU 2020114859 A,2020-04-22,2020-04-22,DIAGNOSTIC TECHNIQUE OF 35DELG (RS80338939) MUTATION OF GJB2 GENE,FEDERALNOE GOSUDARSTVENNOE AVTONOMNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA ROSSIJSKIJ N,LOLOMADZE ELENA ANATOLEVNA;;REBRIKOV DENIS VLADIMIROVICH,,https://lens.org/016-774-548-539-141,ACTIVE
276,CN,A,CN 113308447 A,178-609-997-134-380,2021-08-27,2021,CN 202110597503 A,2021-05-31,2021-05-31,Application of arabidopsis thaliana UGT74F2 in catalyzing phenyllactic acid to synthesize phenyllactoyl glucose,UNIV SOUTHWEST,ZENG JUNLAN;;QIU FEI;;ZHAO TENGFEI;;ZHANG QIAOZHUO;;LIU XUECHAO;;LIAO ZHIHUA,,https://lens.org/178-609-997-134-380,ACTIVE
277,CN,A,CN 104084237 A,111-981-108-234-753,2014-10-08,2014,CN 201410345760 A,2014-07-18,2014-07-18,Synthetic method of efficient high-stability catalyst for aqueous phase click reaction,UNIV SHANDONG,TAN YEBANG;;CHEN HAO;;HOU SHENGZHEN;;MA HAILI,,https://lens.org/111-981-108-234-753,INACTIVE
278,CN,A,CN 103849614 A,015-200-046-496-488,2014-06-11,2014,CN 201410085600 A,2014-03-10,2014-03-10,SmCPS4 protein as well as coding gene and application thereof,INST BOTANY CAS,QI XIAOQUAN;;CUI GUANGHONG;;JIN BAOLONG,,https://lens.org/015-200-046-496-488,ACTIVE
279,DE,A1,DE 102004006477 A1,112-606-807-487-292,2005-08-25,2005,DE 102004006477 A,2004-02-04,2002-08-15,"Process for demonstrating the presence of single nucleotide polymorphism in human genes, comprises using a priming agent",BIOTEZ BERLIN BUCH GMBH BIOCHE,NEUNABER RALF;;STROHNER PAVEL;;SCHREIBER JOACHIM;;VOIGT GESINE,,https://lens.org/112-606-807-487-292,DISCONTINUED
280,CN,A,CN 113881619 A,004-411-413-723-306,2022-01-04,2022,CN 202111257439 A,2021-10-27,2021-10-27,Recombinant escherichia coli capable of synthesizing bordetella pertussis oligosaccharide antigen,UNIV JIANGNAN;;SUZHOU WEICHAO BIOTECHNOLOGY CO LTD,WANG XIAOYUAN;;WANG ZHEN;;FAN FENGFENG;;WANG CHENHUI;;HU HAO,,https://lens.org/004-411-413-723-306,PENDING
281,WO,A3,WO 2012/012739 A3,080-725-254-801-44X,2012-05-10,2012,US 2011/0045038 W,2011-07-22,2010-07-22,MULTIPLE INPUT BIOLOGIC CLASSIFIER CIRCUITS FOR CELLS,HARVARD COLLEGE;;MASSACHUSETTS INST TECHNOLOGY;;BENENSON YAAKOV;;WEISS RON;;XIE ZHEN;;WROBLEWSKA LILIANA,BENENSON YAAKOV;;WEISS RON;;WROBLEWSKA LILIANA,,https://lens.org/080-725-254-801-44X,PENDING
282,CN,A,CN 111655856 A,043-578-450-297-296,2020-09-11,2020,CN 201880073825 A,2018-09-28,2017-09-29,Modular DNA assembly system,VICTORIA LINK LTD,VAN DOLLEWEERD CRAIG JOHN;;PARKER EMILY JANE;;NICHOLSON MATTHEW JOSEPH,,https://lens.org/043-578-450-297-296,PENDING
283,CN,A,CN 113150088 A,175-369-621-645-538,2021-07-23,2021,CN 202011128242 A,2020-10-20,2020-10-20,Efficient stress-resistant module SyDcw for intelligently responding to stress signal and application thereof in crop breeding,BIOTECHNOLOGY RES INST CAAS,LIN MIN;;WANG JING;;ZHOU ZHENGFU;;YAN YONGLIANG;;ZUO KAIJING,,https://lens.org/175-369-621-645-538,ACTIVE
284,WO,A1,WO 2020/161522 A1,163-297-827-566-995,2020-08-13,2020,IB 2019050940 W,2019-02-06,2019-02-06,FIBER-BASED COMPOSITION,THD SPA,DI LEO ALFREDO,,https://lens.org/163-297-827-566-995,PENDING
285,CN,A,CN 114350726 A,000-680-628-252-281,2022-04-15,2022,CN 202210026372 A,2022-01-11,2022-01-11,Method for synthesizing trehalose by taking cellulose as substrate,UNIV SOUTH CHINA SCIENCE & TECH,ZHENG SUIPING;;ZHENG YIWEN;;TANG SHIMING;;LIN YING,,https://lens.org/000-680-628-252-281,PENDING
286,TW,A,TW 202221130 A,034-004-737-779-883,2022-06-01,2022,TW 110129385 A,2021-08-10,2020-08-10,Cellular production of sialylated di- and/or oligosaccharides,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAA;;PETERS GERT;;VANDEWALLE KRISTOF,,https://lens.org/034-004-737-779-883,PENDING
287,WO,A3,WO 2022/219186 A3,025-699-785-360-590,2022-11-24,2022,EP 2022060179 W,2022-04-15,2021-04-16,FERMENTATIVE PRODUCTION,INBIOSE NV,BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS,,https://lens.org/025-699-785-360-590,PENDING
288,RU,C1,RU 2746055 C1,107-854-831-694-250,2021-04-06,2021,RU 2020114858 A,2020-04-22,2020-04-22,METHOD FOR DIAGNOSING MUTATION C.-23+1G>A (RS80338940) OF THE GJB2 GENE,FEDERALNOE GOSUDARSTVENNOE AVTONOMNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA ROSSIJSKIJ N,LOLOMADZE ELENA ANATOLEVNA;;REBRIKOV DENIS VLADIMIROVICH,,https://lens.org/107-854-831-694-250,ACTIVE
289,RU,C2,RU 2233329 C2,025-997-254-604-408,2004-07-27,2004,RU 99107670 A,1997-09-18,1996-09-20,"SYNTHETIC GENE ENCODING GREEN FLUORESCENT PROTEIN, METHOD FOR PREPARING GENE, EXPRESSING VECTOR, METHOD FOR PREPARING CELL CULTURE",,SID BRAJAN;;KHAAS JURGEN,,https://lens.org/025-997-254-604-408,EXPIRED
290,RU,C2,RU 2157816 C2,050-242-761-503-063,2000-10-20,2000,RU 94042726 A,1993-03-16,1992-03-16,"GENE (VARIANTS), GENE CLASTER (VARIANTS), PROTEIN (VARIANTS), SYNTHETIC POLYPEPTIDE",VASHINGTON UNIV;;ST LUIS UNIV,STEFEN DZH BARENKEHMP,,https://lens.org/050-242-761-503-063,EXPIRED
291,CN,A,CN 113151349 A,184-030-382-154-486,2021-07-23,2021,CN 202011128283 A,2020-10-20,2020-10-20,Stress-resistant functional system AcSeDcDw for improving biological salt tolerance and drought resistance and application thereof,BIOTECHNOLOGY RES INST CAAS,LIN MIN;;WANG JING;;ZHOU ZHENGFU;;YAN YONGLIANG;;ZUO KAIJING,,https://lens.org/184-030-382-154-486,ACTIVE
292,CN,A,CN 105969714 A,077-809-970-128-532,2016-09-28,2016,CN 201610362606 A,2016-05-27,2016-05-27,Xiamenensis mycin high-producing strain and culture medium and application thereof,UNIV SHANGHAI JIAOTONG,XU DUN;;HU XIAOYAN;;XU MINJUAN;;BU XULIANG;;YU HELIN,,https://lens.org/077-809-970-128-532,ACTIVE
293,CN,A,CN 104293814 A,182-303-886-624-902,2015-01-21,2015,CN 201410012581 A,2014-01-09,2014-01-09,"Diapause hormone fusion gene, fusion protein, preparation method and application",UNIV HENAN SCIENCE & TECH,ZHOU ZHOU;;LI YONGLI;;YUAN CHUNYAN;;WANG PANPAN;;LI HONGYING,,https://lens.org/182-303-886-624-902,DISCONTINUED
294,US,B2,US 11065840 B2,177-114-379-589-416,2021-07-20,2021,US 201615553113 A,2016-02-25,2015-02-25,Structures and methods of manufacturing structures using biological based materials,CHURCH RYAN;;BIOMERENEWABLES INC,CHURCH RYAN,BIOMERENEWABLES INC (2020-07-16),https://lens.org/177-114-379-589-416,ACTIVE
295,WO,A2,WO 2008/021493 A2,097-274-222-372-887,2008-02-21,2008,US 2007/0018258 W,2007-08-17,2006-08-18,A PROCESS FOR IDENTIFICATION OF MOLECULAR MIMICRY AND THE USES THEREOF,WANG HUIRU,WANG HUIRU,,https://lens.org/097-274-222-372-887,PENDING
296,WO,A1,WO 2017/039596 A1,141-237-839-592-135,2017-03-09,2017,US 2015/0047623 W,2015-08-30,2015-08-30,"EXPANDABLE INTERVERTEBRAL CAGE WITH LIVING HINGES APPARATUS, SYSTEMS AND METHODS OF MANUFACTURE THEREOF",LORIO MORGAN PACKARD,LORIO MORGAN PACKARD,,https://lens.org/141-237-839-592-135,PENDING
297,WO,A1,WO 2011/107741 A1,173-230-140-777-75X,2011-09-09,2011,GB 2011000292 W,2011-03-03,2010-03-05,HERBICIDAL COMPOSITION COMPRISING A MIXTURE OF A FIRST HERBICIDE AND PINOXADEN,SYNGENTA PARTICIPATIONS AG;;SYNGENTA LTD;;DE HEER MARTINE INGRID;;CORDINGLEY MATTHEW ROBERT;;LE GOUPIL GAEL ANNE;;FORMSTONE CARL ANDREW,DE HEER MARTINE INGRID;;CORDINGLEY MATTHEW ROBERT;;LE GOUPIL GAEL ANNE;;FORMSTONE CARL ANDREW,,https://lens.org/173-230-140-777-75X,PENDING
298,EP,B1,EP 3293220 B1,086-392-779-441-710,2020-11-25,2020,EP 17192727 A,2013-10-25,2012-10-25,HYDROGEL NETWORK,UNIV OXFORD INNOVATION LTD,BAYLEY JOHN HAGAN PRYCE;;SAPRA KUNWAR TANUJ,,https://lens.org/086-392-779-441-710,ACTIVE
299,CN,A,CN 103243066 A,118-070-323-614-326,2013-08-14,2013,CN 201310209514 A,2013-05-30,2013-05-30,Bacterial strain for producing lycopene and application of bacterial strain,UNIV WUHAN,LIU TIANGANG;;ZHU FAYIN;;DENG ZIXIN,,https://lens.org/118-070-323-614-326,ACTIVE
300,CN,A,CN 110283099 A,104-225-073-534-379,2019-09-27,2019,CN 201910664635 A,2019-07-23,2019-07-23,Synthetic method and application of disalicylaldehyde 6-amino-m-cresol schiff base,UNIV HARBIN SCIENCE & TECH,LIU BO;;FENG JUNKAI;;WU WENJU;;YOU JUN;;JING JUNKAI,,https://lens.org/104-225-073-534-379,ACTIVE
301,CN,A,CN 102911955 A,049-380-259-200-657,2013-02-06,2013,CN 201210410156 A,2012-10-24,2012-10-24,Synthetic human enterokinase gene and expression and purification method thereof,UNIV SHANXI,NIU LIXI;;YANG BINSHENG;;SHI YAWEI;;LI JIAO;;JI XUEXUE,,https://lens.org/049-380-259-200-657,INACTIVE
302,CN,A,CN 103243065 A,069-382-775-798-75X,2013-08-14,2013,CN 201310209421 A,2013-05-30,2013-05-30,Bacterial strain for producing farnesene and application of bacterial strain,UNIV WUHAN,LIU TIANGANG;;ZHU FAYIN;;DENG ZIXIN,,https://lens.org/069-382-775-798-75X,ACTIVE
303,CN,A,CN 106635023 A,138-982-064-564-754,2017-05-10,2017,CN 201611127921 A,2016-12-09,2016-12-09,Synthetic method of chiral quantum rod based on circular polarized light,UNIV JIANGNAN;;DELISI GROUP LTD,XU CHUANLAI;;HAO TIANTIAN;;KUANG HUA;;XU LIGUANG;;MA WEI;;WU XIAOLING;;LIU LIQIANG;;SONG SHANSHAN;;ZHENG QIANKUN,,https://lens.org/138-982-064-564-754,ACTIVE
